subject_id,task,trial_block,trial_number,shape1,label1,correct_key,participant_response,reaction_time,participant_correct,event_name,image,word,stimulus,category
1,localizer,2,500,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,501,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,502,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,503,,carre,j,j,497.0,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,504,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,505,,carre,,,,TRUE,word,1.004,0.0,carre,shape
1,localizer,2,506,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,507,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,508,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,509,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,510,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,511,,dinde,,,,TRUE,word,1.004,0.0,dinde,agent
1,localizer,2,512,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,513,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,514,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,515,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,516,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,517,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,518,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,519,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,520,dinde,,j,j,488.0,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,521,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,522,carre,,,,,TRUE,image,0.0,1.004,carre,shape
1,localizer,2,523,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,524,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,525,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,526,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,527,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,528,croix,,,,,TRUE,image,0.0,1.004,croix,shape
1,localizer,2,529,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,530,croix,,,,,TRUE,image,0.0,,croix,shape
1,localizer,2,531,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,532,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,533,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,534,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,535,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,536,dinde,,,,,TRUE,image,0.0,1.004,dinde,agent
