index,event_name,assignment_1_label,assignment_1_shape,assignment_2_label,assignment_2_shape,central_location_flash,initial_fixation,inter_assignment_fixation,outcome,peripheral_location_flash,post_assignment_fixation,post_central_fixation,post_outcome_fixation,post_peripheral_fixation,response,test_sentence_1,test_sentence_2,test_sentence_3,test_sentence_4,test_sentence_5,onset_sec,trial_number,trial_block
4266,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,3116.944,2,8
4267,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,3117.944,2,8
4268,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,3118.944,2,8
4269,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,3119.944,2,8
4270,post_assignment_fixation,,,,,1.004,,,,,0.0,,,,,,,,,,3120.944,2,8
4271,central_location_flash,,,,,0.0,,,,,,0.996,,,,,,,,,3121.948,2,8
4272,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,3122.944,2,8
4273,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,3123.748,2,8
4274,post_peripheral_fixation,,,,,,,,0.804,-0.196,,,1.004,0.0,,,,,,,3123.944,2,8
4275,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,3124.748,2,8
4276,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,3124.948,2,8
4277,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,3125.448,2,8
4278,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,3125.848,2,8
4279,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,3126.248,2,8
4280,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,3126.648,2,8
4281,test_sentence_5,,,,,,0.916,,,,,,,,0.4,,,,,0.0,3127.048,2,8
4282,response,,,,,,0.516,,,,,,,,0.0,,,,,,3127.448,2,8
4283,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,3127.964,3,8
4284,assignment_1_label,0.0,1.004,,,,,,,,,,,,,,,,,,3128.464,3,8
4285,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,3129.468,3,8
4286,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,3130.468,3,8
4287,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,3131.468,3,8
4288,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,3132.468,3,8
4289,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3133.468,3,8
4290,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3134.468,3,8
4291,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,3135.468,3,8
4292,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,3136.268,3,8
4293,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.004,0.0,,,,,,,3136.468,3,8
4294,outcome,,,,,,,,0.0,,,,0.204,,,0.704,,,,,3137.268,3,8
4295,post_outcome_fixation,,,,,,,,,,,,0.0,,,0.5,0.896,,,,3137.472,3,8
4296,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.8,,,3137.972,3,8
4297,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.404,0.8,,3138.368,3,8
4298,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.396,0.8,3138.772,3,8
4299,test_sentence_4,,,,,,,,,,,,,,0.804,,,,0.0,0.404,3139.168,3,8
4300,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,3139.572,3,8
4301,response,,,,,,0.624,,,,,,,,0.0,,,,,,3139.972,3,8
4302,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,3140.596,4,8
4303,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,3141.096,4,8
4304,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,3142.096,4,8
4305,inter_assignment_fixation,,,1.004,,,,0.0,,,,,,,,,,,,,3143.096,4,8
4306,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,3144.1,4,8
4307,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,3145.1,4,8
4308,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3146.1,4,8
4309,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3147.1,4,8
4310,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,3148.1,4,8
4311,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,3148.9,4,8
4312,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,3149.1,4,8
4313,outcome,,,,,,,,0.0,,,,0.2,,,0.704,,,,,3149.9,4,8
4314,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.504,0.9,,,,3150.1,4,8
4315,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.796,,,3150.604,4,8
4316,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,3151.0,4,8
4317,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,3151.4,4,8
4318,test_sentence_4,,,,,,,,,,,,,,0.804,,,,0.0,0.4,3151.8,4,8
4319,test_sentence_5,,,,,,0.96,,,,,,,,0.404,,,,,0.0,3152.2,4,8
4320,response,,,,,,0.556,,,,,,,,0.0,,,,,,3152.604,4,8
4321,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,3153.16,5,8
4322,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,3153.66,5,8
4323,assignment_1_label,0.0,,,,,,1.004,,,,,,,,,,,,,3154.66,5,8
4324,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,3155.664,5,8
4325,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,3156.664,5,8
4326,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,3157.664,5,8
4327,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3158.664,5,8
4328,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3159.664,5,8
4329,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,3160.664,5,8
4330,peripheral_location_flash,,,,,,,,,0.0,,,,0.2,,,,,,,3161.464,5,8
4331,post_peripheral_fixation,,,,,,,,0.808,-0.2,,,1.0,0.0,,,,,,,3161.664,5,8
4332,outcome,,,,,,,,0.0,,,,0.192,,,0.692,,,,,3162.472,5,8
4333,post_outcome_fixation,,,,,,,,-0.192,,,,0.0,,,0.5,0.9,,,,3162.664,5,8
4334,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,3163.164,5,8
4335,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,3163.564,5,8
4336,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,3163.964,5,8
4337,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,3164.364,5,8
4338,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,3164.764,5,8
4339,response,,,,,,0.952,,,,,,,,0.0,,,,,,3165.164,5,8
4340,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,3166.116,6,8
4341,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,3166.616,6,8
4342,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,3167.616,6,8
4343,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,3168.616,6,8
4344,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,3169.616,6,8
4345,assignment_2_shape,,,,0.0,,,,,,1.004,,,,,,,,,,3170.616,6,8
4346,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3171.62,6,8
4347,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3172.62,6,8
4348,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,3173.62,6,8
