index,event_name,assignment_1_label,assignment_1_shape,assignment_2_label,assignment_2_shape,central_location_flash,initial_fixation,inter_assignment_fixation,outcome,peripheral_location_flash,post_assignment_fixation,post_central_fixation,post_outcome_fixation,post_peripheral_fixation,response,test_sentence_1,test_sentence_2,test_sentence_3,test_sentence_4,test_sentence_5,onset_sec,trial_number,trial_block
1121,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,853.08,28,2
1122,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,853.28,28,2
1123,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,853.78,28,2
1124,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,854.18,28,2
1125,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,854.58,28,2
1126,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,854.98,28,2
1127,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,855.38,28,2
1128,response,,,,,,,,,,,,,,0.0,,,,,,855.78,28,2
1129,initial_fixation,,0.492,,,,0.0,,,,,,,,,,,,,,856.824,29,2
1130,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,857.316,29,2
1131,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,858.316,29,2
1132,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,859.316,29,2
1133,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,860.316,29,2
1134,assignment_2_label,,,0.0,,,,,,,1.004,,,,,,,,,,861.316,29,2
1135,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,862.32,29,2
1136,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,863.32,29,2
1137,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,864.32,29,2
1138,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,865.12,29,2
1139,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,865.32,29,2
1140,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,866.12,29,2
1141,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,866.32,29,2
1142,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,866.82,29,2
1143,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,867.22,29,2
1144,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,867.62,29,2
1145,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,868.02,29,2
1146,test_sentence_5,,,,,,0.892,,,,,,,,0.4,,,,,0.0,868.42,29,2
1147,response,0.992,,,,,0.492,,,,,,,,0.0,,,,,,868.82,29,2
1148,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,869.312,30,2
1149,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,869.812,30,2
1150,assignment_1_shape,,0.0,,,,,1.004,,,,,,,,,,,,,870.812,30,2
1151,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,871.816,30,2
1152,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,872.816,30,2
1153,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,873.816,30,2
1154,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,874.816,30,2
1155,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,875.816,30,2
1156,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,876.816,30,2
1157,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,877.616,30,2
1158,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,877.816,30,2
1159,outcome,,,,,,,,0.0,,,,0.2,,,0.704,,,,,878.616,30,2
1160,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.504,0.9,,,,878.816,30,2
1161,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.796,,,879.32,30,2
1162,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,879.716,30,2
1163,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.804,880.116,30,2
1164,test_sentence_4,,,,,,,,,,,,,,0.804,,,,0.0,0.404,880.516,30,2
1165,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,880.92,30,2
1166,response,,,,,,0.7,,,,,,,,0.0,,,,,,881.32,30,2
1167,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,882.02,31,2
1168,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,882.52,31,2
1169,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,883.52,31,2
1170,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,884.52,31,2
1171,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,885.52,31,2
1172,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,886.52,31,2
1173,post_assignment_fixation,,,,,1.004,,,,,0.0,,,,,,,,,,887.52,31,2
1174,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,888.524,31,2
1175,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,889.524,31,2
1176,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,890.324,31,2
1177,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,890.524,31,2
1178,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,891.324,31,2
1179,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,891.524,31,2
1180,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,892.024,31,2
1181,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,892.424,31,2
1182,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,892.824,31,2
1183,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,893.224,31,2
1184,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,893.624,31,2
1185,response,,,,,,,,,,,,,,0.0,,,,,,894.024,31,2
1186,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,895.2,32,2
1187,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,895.7,32,2
1188,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,896.7,32,2
1189,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,897.7,32,2
1190,assignment_2_shape,,,1.004,0.0,,,,,,,,,,,,,,,,898.7,32,2
1191,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,899.704,32,2
1192,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,900.704,32,2
1193,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,901.704,32,2
1194,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,902.704,32,2
1195,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,903.504,32,2
1196,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,903.704,32,2
1197,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,904.504,32,2
1198,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,904.704,32,2
1199,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,905.204,32,2
1200,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,905.604,32,2
1201,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,906.004,32,2
1202,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,906.404,32,2
1203,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,906.804,32,2
1204,response,,,,,,,,,,,,,,0.0,,,,,,907.204,32,2
1205,initial_fixation,0.504,,,,,0.0,,,,,,,,,,,,,,931.228,1,3
1206,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,931.732,1,3
1207,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,932.732,1,3
1208,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,933.732,1,3
1209,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,934.732,1,3
1210,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,935.732,1,3
1211,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,936.732,1,3
1212,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,937.732,1,3
1213,post_central_fixation,,,,,,,,,0.8,,0.0,,1.004,,,,,,,938.732,1,3
1214,peripheral_location_flash,,,,,,,,1.004,0.0,,,,0.204,,,,,,,939.532,1,3
1215,post_peripheral_fixation,,,,,,,,0.8,,,,1.0,0.0,,,,,,,939.736,1,3
1216,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,940.536,1,3
1217,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,940.736,1,3
1218,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.796,,,941.236,1,3
1219,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.396,0.8,,941.636,1,3
1220,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.404,0.804,942.032,1,3
1221,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,942.436,1,3
1222,test_sentence_5,,,,,,0.892,,,,,,,,0.4,,,,,0.0,942.836,1,3
1223,response,0.992,,,,,0.492,,,,,,,,0.0,,,,,,943.236,1,3
1224,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,943.728,2,3
1225,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,944.228,2,3
1226,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,945.228,2,3
1227,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,946.228,2,3
1228,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,947.228,2,3
1229,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,948.228,2,3
1230,post_assignment_fixation,,,,,,,,,,0.0,,,,,,,,,,949.228,2,3
1231,central_location_flash,,,,,0.0,,,,,,0.992,,,,,,,,,950.24,2,3
1232,post_central_fixation,,,,,,,,,0.808,,0.0,,,,,,,,,951.232,2,3
1233,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,952.04,2,3
1234,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,952.24,2,3
1235,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,953.04,2,3
1236,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,953.24,2,3
1237,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,953.74,2,3
1238,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,954.14,2,3
1239,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,954.54,2,3
1240,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,954.94,2,3
1241,test_sentence_5,,,,,,0.828,,,,,,,,0.4,,,,,0.0,955.34,2,3
1242,response,,0.928,,,,0.428,,,,,,,,0.0,,,,,,955.74,2,3
1243,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,956.168,3,3
1244,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,956.668,3,3
1245,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,957.668,3,3
1246,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,958.668,3,3
1247,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,959.668,3,3
1248,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,960.668,3,3
1249,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,961.668,3,3
1250,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,962.668,3,3
1251,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,963.668,3,3
1252,peripheral_location_flash,,,,,,,,,0.0,,,,0.196,,,,,,,964.472,3,3
1253,post_peripheral_fixation,,,,,,,,0.812,-0.196,,,1.004,0.0,,,,,,,964.668,3,3
1254,outcome,,,,,,,,0.0,,,,0.192,,,0.692,,,,,965.48,3,3
1255,post_outcome_fixation,,,,,,,,-0.192,,,,0.0,,,0.5,0.9,,,,965.672,3,3
1256,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,966.172,3,3
1257,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,966.572,3,3
1258,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,966.972,3,3
1259,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,967.372,3,3
1260,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,967.772,3,3
1261,response,,,,,,0.616,,,,,,,,0.0,,,,,,968.172,3,3
1262,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,968.788,4,3
1263,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,969.288,4,3
1264,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,970.288,4,3
1265,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,971.288,4,3
1266,assignment_2_label,,,0.0,1.004,,,,,,,,,,,,,,,,972.288,4,3
1267,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,973.292,4,3
1268,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,974.292,4,3
1269,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,975.292,4,3
1270,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,976.292,4,3
1271,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,977.092,4,3
1272,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,977.292,4,3
1273,outcome,,,,,,,,0.0,,,,0.2,,,0.704,,,,,978.092,4,3
1274,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.504,0.904,,,,978.292,4,3
1275,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.796,,,978.796,4,3
1276,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.396,0.8,,979.196,4,3
1277,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.404,0.8,979.592,4,3
1278,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.396,979.996,4,3
1279,test_sentence_5,,,,,,,,,,,,,,0.404,,,,,0.0,980.392,4,3
1280,response,,,,,,0.94,,,,,,,,0.0,,,,,,980.796,4,3
1281,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,981.736,5,3
1282,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,982.236,5,3
1283,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,983.236,5,3
1284,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,984.236,5,3
1285,assignment_2_shape,,,1.004,0.0,,,,,,,,,,,,,,,,985.236,5,3
1286,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,986.24,5,3
1287,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,987.24,5,3
1288,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,988.24,5,3
1289,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,989.24,5,3
1290,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,990.04,5,3
1291,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,990.24,5,3
1292,outcome,,,,,,,,0.0,,,,0.2,,,0.704,,,,,991.04,5,3
1293,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.504,0.9,,,,991.24,5,3
1294,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.796,,,991.744,5,3
1295,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,992.14,5,3
1296,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.804,992.54,5,3
1297,test_sentence_4,,,,,,,,,,,,,,0.804,,,,0.0,0.404,992.94,5,3
1298,test_sentence_5,,,,,,0.956,,,,,,,,0.4,,,,,0.0,993.344,5,3
1299,response,,,,,,0.556,,,,,,,,0.0,,,,,,993.744,5,3
1300,initial_fixation,,0.504,,,,0.0,,,,,,,,,,,,,,994.3,6,3
1301,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,994.804,6,3
1302,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,995.804,6,3
1303,inter_assignment_fixation,,,,,,,0.0,,,,,,,,,,,,,996.804,6,3
1304,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,997.812,6,3
1305,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,998.812,6,3
1306,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,999.812,6,3
1307,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,1000.812,6,3
1308,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,1001.812,6,3
1309,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,1002.616,6,3
1310,post_peripheral_fixation,,,,,,,,0.804,-0.196,,,1.004,0.0,,,,,,,1002.812,6,3
1311,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,1003.616,6,3
1312,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,1003.816,6,3
1313,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,1004.316,6,3
1314,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.796,,1004.716,6,3
1315,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.396,0.8,1005.116,6,3
1316,test_sentence_4,,,,,,,,,,,,,,0.804,,,,0.0,0.404,1005.512,6,3
1317,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,1005.916,6,3
1318,response,,,,,,0.64,,,,,,,,0.0,,,,,,1006.316,6,3
1319,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,1006.956,7,3
1320,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,1007.456,7,3
1321,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,1008.456,7,3
1322,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,1009.456,7,3
1323,assignment_2_shape,,,1.004,0.0,,,,,,,,,,,,,,,,1010.456,7,3
1324,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,1011.46,7,3
1325,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,1012.46,7,3
1326,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,1013.46,7,3
1327,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,1014.46,7,3
1328,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,1015.26,7,3
1329,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,1015.46,7,3
1330,outcome,,,,,,,,0.0,,,,0.2,,,0.704,,,,,1016.26,7,3
1331,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.504,0.9,,,,1016.46,7,3
1332,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.796,,,1016.964,7,3
1333,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.804,,1017.36,7,3
1334,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.404,0.804,1017.76,7,3
1335,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,1018.164,7,3
1336,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,1018.564,7,3
1337,response,,,,,,0.964,,,,,,,,0.0,,,,,,1018.964,7,3
1338,initial_fixation,,0.504,,,,0.0,,,,,,,,,,,,,,1019.928,8,3
1339,assignment_1_shape,0.996,0.0,,,,,,,,,,,,,,,,,,1020.432,8,3
1340,assignment_1_label,0.0,,,,,,1.004,,,,,,,,,,,,,1021.428,8,3
1341,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,1022.432,8,3
1342,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,1023.432,8,3
1343,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,1024.432,8,3
1344,post_assignment_fixation,,,,,1.004,,,,,0.0,,,,,,,,,,1025.432,8,3
1345,central_location_flash,,,,,0.0,,,,,,0.996,,,,,,,,,1026.436,8,3
1346,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,1027.432,8,3
1347,peripheral_location_flash,,,,,,,,1.004,0.0,,,,0.2,,,,,,,1028.232,8,3
1348,post_peripheral_fixation,,,,,,,,0.804,-0.2,,,1.004,0.0,,,,,,,1028.432,8,3
1349,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,1029.236,8,3
1350,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,1029.436,8,3
1351,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,1029.936,8,3
1352,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,1030.336,8,3
1353,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,1030.736,8,3
1354,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,1031.136,8,3
1355,test_sentence_5,,,,,,0.748,,,,,,,,0.4,,,,,0.0,1031.536,8,3
1356,response,,0.852,,,,0.348,,,,,,,,0.0,,,,,,1031.936,8,3
1357,initial_fixation,,0.504,,,,0.0,,,,,,,,,,,,,,1032.284,9,3
1358,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,1032.788,9,3
1359,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,1033.788,9,3
1360,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,1034.788,9,3
1361,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,1035.788,9,3
1362,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,1036.788,9,3
1363,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,1037.788,9,3
1364,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,1038.788,9,3
1365,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,1039.788,9,3
1366,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,1040.592,9,3
1367,post_peripheral_fixation,,,,,,,,0.804,-0.196,,,1.0,0.0,,,,,,,1040.788,9,3
1368,outcome,,,,,,,,0.0,,,,0.196,,,0.7,,,,,1041.592,9,3
1369,post_outcome_fixation,,,,,,,,-0.196,,,,0.0,,,0.504,0.904,,,,1041.788,9,3
1370,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,1042.292,9,3
1371,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,1042.692,9,3
1372,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,1043.092,9,3
1373,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,1043.492,9,3
1374,test_sentence_5,,,,,,0.9,,,,,,,,0.4,,,,,0.0,1043.892,9,3
1375,response,,0.992,,,,0.5,,,,,,,,0.0,,,,,,1044.292,9,3
1376,initial_fixation,,0.492,,,,0.0,,,,,,,,,,,,,,1044.792,10,3
1377,assignment_1_shape,,0.0,,,,,,,,,,,,,,,,,,1045.284,10,3
1378,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,1046.292,10,3
1379,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,1047.292,10,3
1380,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,1048.292,10,3
1381,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,1049.292,10,3
1382,post_assignment_fixation,,,,,1.004,,,,,0.0,,,,,,,,,,1050.292,10,3
1383,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,1051.296,10,3
1384,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,1052.296,10,3
1385,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,1053.096,10,3
1386,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,1053.296,10,3
1387,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,1054.096,10,3
1388,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,1054.296,10,3
1389,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,1054.796,10,3
1390,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,1055.196,10,3
1391,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,1055.596,10,3
1392,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,1055.996,10,3
1393,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,1056.396,10,3
1394,response,,,,,,0.632,,,,,,,,0.0,,,,,,1056.796,10,3
1395,initial_fixation,0.504,,,,,0.0,,,,,,,,,,,,,,1057.428,11,3
1396,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,1057.932,11,3
1397,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,1058.932,11,3
1398,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,1059.932,11,3
1399,assignment_2_label,,,0.0,1.0,,,,,,,,,,,,,,,,1060.932,11,3
1400,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,1061.932,11,3
1401,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,1062.932,11,3
1402,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,1063.932,11,3
1403,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,1064.932,11,3
1404,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.196,,,,,,,1065.736,11,3
1405,post_peripheral_fixation,,,,,,,,0.804,-0.196,,,1.004,0.0,,,,,,,1065.932,11,3
1406,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,1066.736,11,3
1407,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,1066.936,11,3
1408,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,1067.436,11,3
1409,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,1067.836,11,3
1410,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,1068.236,11,3
1411,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,1068.636,11,3
1412,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,1069.036,11,3
1413,response,,,,,,0.784,,,,,,,,0.0,,,,,,1069.436,11,3
1414,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,1070.22,12,3
1415,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,1070.72,12,3
1416,assignment_1_label,0.0,,,,,,1.0,,,,,,,,,,,,,1071.72,12,3
1417,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,1072.72,12,3
1418,assignment_2_shape,,,1.004,0.0,,,,,,,,,,,,,,,,1073.72,12,3
