subject_id,trial_number,trial_block,event_name,stimulus,assigned,assigned_category,assignment_order,shape1,shape2,shape_pair,agent_assignment,patient_assignment,label1,label2,agent,patient,central_shape,peripheral_position,location_order,movement,outcome,ground_truth,change,test_sentence,correct_key,timestamp,participant_response,reaction_time,participant_correct
5,3,6,response,,,,referent_first,cercle,croix,cercle-croix,shape1,shape2,dinde,lampe,dinde,lampe,shape2,right,shape2_first,left,pousse,La dinde pousse la lampe,,La dinde pousse la lampe,j,4522340,j,197.0,True
5,4,6,initial_fixation,fixationCross,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,assignment_1_label,lampe,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,assignment_1_shape,losange,lampe,object,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,inter_assignment_fixation,fixationCross,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,assignment_2_label,biche,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,assignment_2_shape,croix,biche,agent,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,post_assignment_fixation,fixationCross,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,central_location_flash,losange,lampe,object,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,post_central_fixation,fixationCross,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,peripheral_location_flash,croix,biche,agent,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,post_peripheral_fixation,fixationCross,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,outcome,losange_center_croix_right,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,post_outcome_fixation,fixationCross,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,test_sentence_1,La,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,test_sentence_2,dinde,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,test_sentence_3,pousse,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,test_sentence_4,la,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,test_sentence_5,lampe,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,4,6,response,,,,referent_first,losange,croix,croix-losange,shape2,shape1,lampe,biche,biche,lampe,shape1,right,shape1_first,left,pousse,La biche pousse la lampe,agent,La dinde pousse la lampe,f,4534796,f,496.0,True
5,5,6,initial_fixation,fixationCross,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,assignment_1_shape,croix,pince,object,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,assignment_1_label,pince,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,inter_assignment_fixation,fixationCross,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,assignment_2_shape,cercle,biche,agent,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,assignment_2_label,biche,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,post_assignment_fixation,fixationCross,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,central_location_flash,cercle,biche,agent,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,post_central_fixation,fixationCross,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,peripheral_location_flash,croix,pince,object,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,post_peripheral_fixation,fixationCross,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,outcome,cercle_center_croix_left,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,post_outcome_fixation,fixationCross,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,test_sentence_1,La,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,test_sentence_2,biche,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,test_sentence_3,pousse,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,test_sentence_4,la,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,test_sentence_5,pince,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,5,6,response,,,,symbol_first,croix,cercle,cercle-croix,shape2,shape1,pince,biche,biche,pince,shape2,left,shape2_first,right,tire,La biche tire la pince,verb,La biche pousse la pince,f,4547551,f,114.0,True
5,6,6,initial_fixation,fixationCross,,,referent_first,carre,cercle,carre-cercle,shape2,shape1,lampe,biche,biche,lampe,shape1,left,shape1_first,right,pousse,La biche pousse la lampe,verb,La biche tire la lampe,f,4559925,f,408.0,True
5,6,6,assignment_1_label,lampe,,,referent_first,carre,cercle,carre-cercle,shape2,shape1,lampe,biche,biche,lampe,shape1,left,shape1_first,right,pousse,La biche pousse la lampe,verb,La biche tire la lampe,f,4559925,f,408.0,True
5,6,6,assignment_1_shape,carre,lampe,object,referent_first,carre,cercle,carre-cercle,shape2,shape1,lampe,biche,biche,lampe,shape1,left,shape1_first,right,pousse,La biche pousse la lampe,verb,La biche tire la lampe,f,4559925,f,408.0,True
5,6,6,inter_assignment_fixation,fixationCross,,,referent_first,carre,cercle,carre-cercle,shape2,shape1,lampe,biche,biche,lampe,shape1,left,shape1_first,right,pousse,La biche pousse la lampe,verb,La biche tire la lampe,f,4559925,f,408.0,True
